Date,Open,High,Low,Close,Adj Close,Volume
2/12/2018,88.739998,93.5,87.800003,92,85.876305,155509700
2/19/2018,91.480003,94.07,91.010002,94.059998,88.211639,108556200
2/26/2018,94.400002,95.839996,90.860001,93.050003,87.26442,157202200
3/5/2018,92.339996,96.540001,92.260002,96.540001,90.537422,135618600
3/12/2018,96.5,97.239998,92.830002,94.599998,88.718071,170285800
3/19/2018,93.739998,94.050003,87.080002,87.18,81.759399,163550000
3/26/2018,90.610001,95.139999,88.400002,91.269997,85.595085,211334400
4/2/2018,90.470001,93.07,87.510002,90.230003,84.619774,189087100
4/9/2018,91.040001,94.18,90.620003,93.080002,87.292557,133323000
4/16/2018,94.07,97.07,93.419998,95,89.093185,122809300
4/23/2018,95.739998,97.900002,90.279999,95.82,89.86219,181387700
4/30/2018,96.330002,96.400002,92.449997,95.160004,89.243233,154077300
5/7/2018,95.169998,97.949997,95.050003,97.699997,91.625305,114220400
5/14/2018,97.919998,98.690002,95.830002,96.360001,90.368622,96545300
5/21/2018,97,98.980003,96.32,98.360001,92.644089,101128100
5/28/2018,97.839996,100.860001,97.230003,100.790001,94.932892,113626000
6/4/2018,101.260002,102.690002,100.379997,101.629997,95.72406,122316200
6/11/2018,101.010002,102.029999,100.07,100.129997,94.311226,162739400
6/18/2018,100.010002,102.519997,99.419998,100.410004,94.574959,140541200
6/25/2018,100,100.110001,97.260002,98.610001,92.879555,148332800
7/2/2018,98.099998,101.43,98,101.160004,95.281372,72446800
7/9/2018,101.650002,105.599998,101.099998,105.43,99.30323,106120800
7/16/2018,105.400002,108.199997,103.889999,106.269997,100.094398,173358100
7/23/2018,106.300003,111.150002,106.129997,107.68,101.422501,155103100
7/30/2018,107.190002,108.089996,104.760002,108.040001,101.761559,130716100
8/6/2018,108.120003,110.160004,107.559998,109,102.665764,83694500
8/13/2018,109.239998,109.75,106.690002,107.580002,101.3283,104689400
8/20/2018,107.510002,108.559998,105.779999,108.400002,102.493553,94198400
8/27/2018,109.269997,112.779999,108.510002,112.330002,106.209419,105653200
9/3/2018,110.849998,111.959999,107.230003,108.209999,102.313919,101483200
9/10/2018,108.839996,113.730003,108.360001,113.370003,107.192749,109098700
9/17/2018,113.690002,115.290001,111.040001,114.260002,108.034279,159580000
9/24/2018,113.029999,115.099998,112.220001,114.370003,108.138252,110093600
10/1/2018,114.75,116.18,110.639999,112.129997,106.020302,120208900
10/8/2018,111.660004,113.080002,104.199997,109.57,103.599808,228861900
10/15/2018,108.910004,111.809998,106.949997,108.660004,102.739403,155518200
10/22/2018,109.32,110.540001,101.589996,106.959999,101.132027,251383700
10/29/2018,108.110001,108.699997,100.110001,106.160004,100.375603,242639700
11/5/2018,106.370003,112.239998,105.900002,109.57,103.599808,147847300
11/12/2018,109.419998,109.959999,103.910004,108.290001,102.389557,180498800
11/19/2018,108.269997,108.559998,99.349998,103.07,97.874985,150780100
11/26/2018,104.790001,111.330002,104.580002,110.889999,105.300812,170038000
12/3/2018,113,113.419998,104.300003,104.82,99.536781,174082100
12/10/2018,104.800003,111.269997,103.889999,106.029999,100.685783,197742900
12/17/2018,105.410004,106.879997,97.459999,98.230003,93.278931,356051000
12/24/2018,97.68,102.410004,93.959999,100.389999,95.330063,183264800
12/31/2018,101.290001,102.510002,97.199997,101.93,96.792442,155142800
1/7/2019,101.639999,104.879997,100.980003,102.800003,97.618584,157833100
1/14/2019,101.900002,107.900002,101.260002,107.709999,102.281097,155699200
1/21/2019,106.75,107.879997,104.860001,107.169998,101.768326,112636000
1/28/2019,106.260002,106.480003,102.169998,102.779999,97.599586,201611200
2/4/2019,102.870003,107.269997,102.769997,105.669998,100.343941,130472100
2/11/2019,106.199997,108.300003,104.970001,108.220001,102.765411,110757200
2/18/2019,107.790001,111.199997,106.290001,110.970001,105.376793,96472600
2/25/2019,111.760002,113.239998,110.879997,112.529999,107.314514,119359500
3/4/2019,113.019997,113.25,108.800003,110.510002,105.388168,111990700
3/11/2019,110.989998,117.25,110.980003,115.910004,110.537865,173582600
3/18/2019,116.169998,120.82,116.050003,117.050003,111.625046,160388500
3/25/2019,116.559998,118.709999,115.519997,117.940002,112.473793,119632800
4/1/2019,118.949997,120.43,118.099998,119.889999,114.333427,99731100
4/8/2019,119.809998,120.980003,118.580002,120.949997,115.344292,83159600
4/15/2019,120.940002,123.519997,120.099998,123.370003,117.65213,77156300
4/22/2019,122.620003,131.369995,122.57,129.889999,123.869942,132620000
4/29/2019,129.899994,130.699997,125.519997,128.899994,122.925797,119573700
5/6/2019,126.389999,128.559998,123.57,127.129997,121.237862,146827400
5/13/2019,124.110001,130.460007,123.040001,128.070007,122.134293,139816600
5/20/2019,126.519997,128.240005,124.739998,126.239998,120.834732,92123900
5/27/2019,126.980003,128,123.32,123.68,118.384361,89367900
6/3/2019,123.849998,132.25,119.010002,131.399994,125.773811,147636900
6/10/2019,132.399994,134.240005,130.710007,132.449997,126.778831,102505800
6/17/2019,132.630005,137.729996,132.529999,136.970001,131.105316,133967200
